OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalObservations,year,month,day,individualCount,species,verbatimScientificName,collectionCode
188,446,Windy Point,2011,541.494,1,2019,5,2,NA,Uma inornata,Uma inornata,Observations
189,636,Blaisdell,2005,5491.788,2,2020,6,2,NA,Uma inornata,Uma inornata,Observations
190,707,Wildhorse,2005,63771.3,31,2010,4,10,NA,Gopherus agassizii,Gopherus agassizii,Observations
191,1313,Dome,2020,44211.08459,125,2013,3,23,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
192,1314,Bobcat,2020,115997.5701,9,2020,5,13,NA,Canis lupus,Canis familiaris,Observations
193,1316,Del Puerto,2020,390647.2556,15,2014,3,28,10,Agelaius tricolor,Agelaius tricolor,EBIRD
194,456,Stewart,2012,10630.18,18,2021,2,19,NA,Puma concolor,Puma concolor,Observations
195,1263,Soda,2016,2000.281,4,2017,4,8,NA,Ammospermophilus nelsoni,Ammospermophilus nelsoni,Observations
196,707,Wildhorse,2005,63771.3,31,2011,5,5,NA,Gopherus agassizii,Gopherus agassizii,Observations
197,299,PARADISE,2005,3081.726,23,2019,5,19,NA,Empidonax traillii,Empidonax traillii,Observations
198,456,Stewart,2012,10630.18,18,2019,11,5,NA,Puma concolor,Puma concolor,Observations
199,456,Stewart,2012,10630.18,18,2021,2,2,NA,Puma concolor,Puma concolor,Observations
200,311,DOS PALMAS,2008,456.4143,1,2021,5,21,NA,Buteo swainsoni,Buteo swainsoni,Observations
201,1313,Dome,2020,44211.08459,125,2010,5,22,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
202,1313,Dome,2020,44211.08459,125,2019,6,20,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
203,451,Blue Cut,2016,36266.55,4,2016,4,15,4,Buteo swainsoni,Buteo swainsoni,EBIRD
204,649,Louisiana,2002,6564.211,2,2016,4,15,4,Buteo swainsoni,Buteo swainsoni,EBIRD
205,669,Blue Cut,2016,36266.7,4,2016,4,15,4,Buteo swainsoni,Buteo swainsoni,EBIRD
206,451,Blue Cut,2016,36266.55,4,2016,4,15,4,Buteo swainsoni,Buteo swainsoni,EBIRD
207,649,Louisiana,2002,6564.211,2,2016,4,15,4,Buteo swainsoni,Buteo swainsoni,EBIRD
208,669,Blue Cut,2016,36266.7,4,2016,4,15,4,Buteo swainsoni,Buteo swainsoni,EBIRD
209,1314,Bobcat,2020,115997.5701,9,2008,5,17,12,Agelaius tricolor,Agelaius tricolor,EBIRD
210,456,Stewart,2012,10630.18,18,2016,4,10,1,Buteo swainsoni,Buteo swainsoni,EBIRD
211,1313,Dome,2020,44211.08459,125,2017,6,12,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
212,1093,BASALT,2004,410.184,22,2020,12,1,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
213,1093,BASALT,2004,410.184,22,2019,11,2,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
214,1313,Dome,2020,44211.08459,125,2010,6,1,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
215,1105,AVENAL,2008,945.3325,11,2011,5,21,10,Agelaius tricolor,Agelaius tricolor,EBIRD
216,1139,TURKEY,2012,2530.048,3,2017,5,20,3,Empidonax traillii,Empidonax traillii,EBIRD
217,1286,Turkey,2012,2530.038,3,2017,5,20,3,Empidonax traillii,Empidonax traillii,EBIRD
218,1313,Dome,2020,44211.08459,125,2012,3,19,2,Colaptes chrysoides,Colaptes chrysoides,EBIRD
219,389,Alamo,2016,136.4,1,2010,2,6,1,Melanerpes uropygialis,Melanerpes uropygialis,EBIRD
220,385,HAUGHTELIN,2010,2319.5,1,2013,10,26,1,Melanerpes uropygialis,Melanerpes uropygialis,EBIRD
221,1313,Dome,2020,44211.08459,125,2019,5,26,3,Colaptes chrysoides,Colaptes chrysoides,EBIRD
222,891,SAN LUIS,2005,332.2597,2,2018,12,21,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
223,1102,ROMERO,2008,766.0438,5,2018,12,21,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
224,1135,ROMERO,2011,451.0401,1,2018,12,21,1,Haliaeetus leucocephalus,Haliaeetus leucocephalus,EBIRD
