OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalBird,year,month,day,individualCount,genus,specificEpithet,species,vernacularName,collectionCode
190,118,M O F F A T,2018,1253.925,1323,2005,6,6,NA,Melospiza,melodia,Melospiza melodia,NA,PRBO-PC
191,99,R I V E R,2013,406.8415,302,2002,5,25,NA,Melospiza,melodia,Melospiza melodia,NA,PRBO-PC
192,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Piranga,ludoviciana,Piranga ludoviciana,NA,PRBO-PC
193,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Polioptila,caerulea,Polioptila caerulea,NA,PRBO-PC
194,99,R I V E R,2013,406.8415,302,2002,5,25,NA,Rallus,limicola,Rallus limicola,NA,PRBO-PC
195,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Mimus,polyglottos,Mimus polyglottos,NA,PRBO-PC
196,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Mimus,polyglottos,Mimus polyglottos,NA,PRBO-PC
197,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
198,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
199,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
200,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
201,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
202,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
203,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
204,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Myiarchus,cinerascens,Myiarchus cinerascens,NA,PRBO-PC
205,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Myiarchus,cinerascens,Myiarchus cinerascens,NA,PRBO-PC
206,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Myiarchus,cinerascens,Myiarchus cinerascens,NA,PRBO-PC
207,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
208,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
209,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
210,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Sturnella,neglecta,Sturnella neglecta,NA,PRBO-PC
